State,Revenue District,Centre,Capacity completed but some minor ancillary works are pending,Capacity completed,Total Completed
Chhattisgarh,Mahasamund,Basna,NA,8350,8350
Chhattisgarh,Mahasamund,Pithora,NA,5000,5000
Chhattisgarh,Kanker,Bhanupratappur,NA,5000,5000
Chhattisgarh,Kanker,Kanker,NA,5000,5000
Chhattisgarh,Kanker,Charama,NA,5000,5000
Chhattisgarh,Kanker,Kanker,NA,13360,13360
Chhattisgarh,Kanker,Charama,NA,6680,6680
Chhattisgarh,Balodabazar,Bhatapara,NA,5000,5000
Chhattisgarh,Bilaspur,Bilaspur,0,13000,13000
Chhattisgarh,Bilaspur,Bilha,NA,5000,5000
Chhattisgarh,Jagdalpur,Jagdalpur,NA,11120,11120
Chhattisgarh,Jagdalpur,Kondagaon,NA,5000,5000
Chhattisgarh,Raigarh,Kharsia,NA,14070,14070
Chhattisgarh,Raigarh,Loharsingh,NA,14270,14270
Chhattisgarh,Raigarh,Raigarh,NA,12000,12000
Chhattisgarh,Raigarh,Raigarh,NA,10000,10000
Chhattisgarh,Raigarh,Kharsia,NA,10000,10000
Chhattisgarh,Dhamtari,Dhamtari,NA,20000,20000
Chhattisgarh,Dhamtari,Kurud,NA,13360,13360
Chhattisgarh,Balod,Balod (Durg),NA,20000,20000
Chhattisgarh,Raipur,Abhanpur(Raipur),NA,10000,10000
Chhattisgarh,Durg,Bhilai Karanja,NA,13300,13300
Chhattisgarh,Mungeli,Mungeli,NA,5000,5000
Chhattisgarh,Bastar,Keshloor,NA,7800,7800
Chhattisgarh,Kondagaon,Keshkal,NA,5000,5000
Chhattisgarh,Jashpur,Patthalgaon,NA,6680,6680
Chhattisgarh,Korba,Korba,NA,5000,5000
Chhattisgarh,Koria,Baikunthpur,NA,5000,5000
Chhattisgarh,Koria,Manendragarh,NA,5000,5000
Chhattisgarh,Kawardha,Kawardha,NA,5000,5000
Total,Total,Total,NA,475190,475190
Madhya Pradesh,Alirajpur,Alirajpur,NA,10000,10000
Madhya Pradesh,Ashok Nagar,Ashok Nagar,NA,16000,16000
Madhya Pradesh,Badwani,Badwani,20000,NA,20000
Madhya Pradesh,Balaghat,Balaghat,NA,8900,8900
Madhya Pradesh,Balaghat,Balaghat,NA,5000,5000
Madhya Pradesh,Betul,Betul,NA,20000,20000
Madhya Pradesh,Betul,Betul,NA,11000,11000
Madhya Pradesh,Bhind,Bhind,NA,10000,10000
Madhya Pradesh,Rajgarh,Biora,NA,25000,25000
Madhya Pradesh,Rajgarh,Biora,NA,13000,13000
Madhya Pradesh,Chhindwara,Chhindwara,NA,14600,14600
Madhya Pradesh,Chhindwara,Chhindwara,NA,27000,27000
Madhya Pradesh,Chhindwara,Chhindwara,NA,10000,10000
Madhya Pradesh,Gwalior,Dabra,NA,25000,25000
Madhya Pradesh,Damoh,Damoh,NA,31000,31000
Madhya Pradesh,Raisen,Devatia (Raisen),22500,0,22500
Madhya Pradesh,Dhar,Dhamnod,NA,20000,20000
Madhya Pradesh,Dhar,Dhar,NA,18760,18760
Madhya Pradesh,Dindori,Dindori,NA,10000,10000
Madhya Pradesh,Vidisha,Ganjbasoda,NA,15600,15600
Madhya Pradesh,Hosangabad,Hathnapur,NA,10300,10300
Madhya Pradesh,Indore,Indore,NA,25000,25000
Madhya Pradesh,Katni,Katni,NA,5000,5000
Madhya Pradesh,Katni,Katni,NA,20600,20600
Madhya Pradesh,Khandwa,Khandwa,NA,13000,13000
Madhya Pradesh,Khargone,Khargone,NA,21000,21000
Madhya Pradesh,Harda,Kheda,70000,0,70000
Madhya Pradesh,Ratlam,Mahidpur,NA,11000,11000
Madhya Pradesh,Satna,Maihar (Satna),NA,17000,17000
Madhya Pradesh,Mandla,Mandla,NA,5000,5000
Madhya Pradesh,Jhabua,Meghnagar,NA,7500,7500
Madhya Pradesh,Morena,Morena,NA,10000,10000
Madhya Pradesh,Betul,Multai,NA,5000,5000
Madhya Pradesh,Narsinghpur,Narsinghpur,NA,6400,6400
Madhya Pradesh,Sehore,Nasarullaganj,NA,11000,11000
Madhya Pradesh,Neemuch,Neemuch,NA,9000,9000
Madhya Pradesh,Tikamgarh,Niwari,NA,14000,14000
Madhya Pradesh,Mandla,Niwas,NA,25000,25000
Madhya Pradesh,Raisen,Obedullaganj,NA,20000,20000
Madhya Pradesh,Panna,Panna,NA,12000,12000
Madhya Pradesh,Dhar,Pitampur (Dhar),NA,10000,10000
Madhya Pradesh,Hosangabad,Powerkheda,NA,53300,53300
Madhya Pradesh,Raisen,Raisen,NA,5000,5000
Madhya Pradesh,Raisen,Raisen,NA,10000,10000
Madhya Pradesh,Rajgarh,Rajgarh,20000,NA,20000
Madhya Pradesh,Rewa,Rewa,NA,25000,25000
Madhya Pradesh,Hosangabad,Samnapur,35000,NA,35000
Madhya Pradesh,Khargone,Sanawad,NA,15000,15000
Madhya Pradesh,Sehore,Sehore,NA,20000,20000
Madhya Pradesh,Seoni,Seoni,NA,13750,13750
Madhya Pradesh,Seoni,Seoni,NA,22980,22980
Madhya Pradesh,Seoni,Seoni,NA,10000,10000
Madhya Pradesh,Seoni,Seoni,NA,8000,8000
Madhya Pradesh,Shahdol,Shahdol,NA,20000,20000
Madhya Pradesh,Shajapur,Maksi (Shajapur),NA,10000,10000
Madhya Pradesh,Shajapur,Shajapur,NA,10000,10000
Madhya Pradesh,Sheopur,Sheopur Kalan,NA,20000,20000
Madhya Pradesh,Sheopur,Sheopur,9500,NA,9500
Madhya Pradesh,Shivpuri,Shivpuri,NA,5000,5000
Madhya Pradesh,Shivpuri,Shivpuri,NA,36000,36000
Madhya Pradesh,Harda,Sultanpur,NA,50000,50000
Madhya Pradesh,Damoh,Tendukheda,NA,5000,5000
Madhya Pradesh,Tikamgarh,Tikamgarh,NA,20000,20000
Madhya Pradesh,Ujjain,Ujjain,NA,20000,20000
Madhya Pradesh,Ujjain,Ujjain (Maksi),NA,10000,10000
Madhya Pradesh,Umaria,Umaria,NA,18000,18000
Total,Total,Total,177000,955690,1132690
Maharashtra,Ahmednagar,Ahmednagar,NA,22960,22960
Maharashtra,Akola,Akola,NA,17400,17400
Maharashtra,Aurangabad,Aurangabad,NA,20000,20000
Maharashtra,Aurangabad,Aurangabad,NA,25000,25000
Maharashtra,Amravati,Badnera,NA,25000,25000
Maharashtra,Pune,Baramati,NA,6000,6000
Maharashtra,Pune,Baramati,NA,10000,10000
Maharashtra,Chandrapur,Brahmpuri,NA,11000,11000
Maharashtra,Chandrapur,Chandrapur,NA,29105,29105
Maharashtra,Buldhana,Khamgaon,NA,35000,35000
Maharashtra,Solapur,Chincholi,NA,11200,11200
Maharashtra,Dhule,Dhule,NA,10000,10000
Maharashtra,Dhule,Dondaicha,NA,13860,13860
Maharashtra,Gondia,Gondia,NA,15000,15000
Maharashtra,Jalgaon,Jalgaon,NA,25200,25200
Maharashtra,Jalgaon,Jalgaon,NA,13000,13000
Maharashtra,Jalna,Jalna,NA,30000,30000
Maharashtra,Buldhana,Khamgaon,NA,6000,6000
